# STOP DELETING THIS

### ARCADE ###
DMS = "countries/Dewan Militer Siliwangi.txt"
PMT = "countries/Permesta.txt"
SLS = "countries/Sulawesi Selatan.txt"
NII = "countries/Negara Islam Indonesia.txt"
ABD = "countries/Angkatan Bersendjata Demokrasi Rakjat.txt"
JJK = "countries/Jogjakarta.txt"

###BURMA BREAKAWAYS###

ARA = "countries/Arakan.txt"
RAM = "countries/Mon.txt"
KAR = "countries/Karen.txt"
CHN = "countries/Chin.txt"
CBR = "countries/Communist Burma.txt"

# // Russia // #
# /// West Russia /// #
BKR = "countries/Bashkir.txt"
GAY = "countries/Gayny.txt"
GOR = "countries/Gorky.txt"
KOM = "countries/Komi.txt"
ONG = "countries/Onega.txt"
PRM = "countries/Perm.txt"
SAM = "countries/Samara.txt"
TAR = "countries/Tatarstan.txt"
VLG = "countries/Vologda.txt"
VYT = "countries/Vyatka.txt"
WRS = "countries/West Russia.txt"
# /// Southern Urals /// #
DRL = "countries/Dirlewanger Brigade.txt"
MGN = "countries/Magnitogorsk.txt"
ORE = "countries/Orenburg.txt"
URL = "countries/Ural League.txt"
# /// West Siberia /// #
FAV = "countries/Free Aviators.txt"
OMS = "countries/Omsk.txt"

NTG = "countries/Nizhny Tagil.txt"
SGV = "countries/Spetsgruppa V.txt"
SVR = "countries/Sverdlovsk.txt"
TYM = "countries/Tyumen.txt"
VOR = "countries/Vorkuta.txt"
YGR = "countries/Yugra.txt"
ZLT = "countries/Zlatoust.txt"
# /// Central Siberia /// #
ALT = "countries/Altai.txt"
KAL = "countries/Kalachinsk.txt"
KEM = "countries/Kemerovo.txt"
SBA = "countries/Siberian Black Army.txt"
KRS = "countries/Krasnoyarsk.txt"
NOV = "countries/Novosibirsk.txt"
NRL = "countries/Norilsk.txt"
PRC = "countries/People's Revolutionary Command.txt"
TAN = "countries/Tuva.txt"
TOM = "countries/Tomsk.txt"
# /// Far East /// #
AMR = "countries/Amur.txt"
BRY = "countries/Buryatia.txt"
CHT = "countries/Chita.txt"
IRK = "countries/Irkutsk.txt"
KMC = "countries/Kamchatka.txt"
MAG = "countries/Magadan.txt"
OMO = "countries/Omolon.txt"
YAK = "countries/Yakutsk.txt"
VIL = "countries/Vilyuy.txt"
# /// Kazakhstan /// #
ARL = "countries/Aralsk.txt"
AKT = "countries/Aktau.txt"
DER = "countries/Derzhavinsk.txt"
KAZ = "countries/Kazakhstan.txt"
KOK = "countries/Kokshetau.txt"
NPL = "countries/Nowa Polska.txt"
PAV = "countries/Pavlodar.txt"
# /// Central Asia /// #
KRK = "countries/Karakalpakstan.txt"
KYR = "countries/Kyrgyzstan.txt"
TAJ = "countries/Tajikistan.txt"
TRK = "countries/Turkmenistan.txt"
UTL = "countries/Turkestan Legion.txt"
UZB = "countries/Uzbekistan.txt"

# // Moskowien // #
# /// Dissolution /// #
TVR = "countries/moskowien/Tverskoe Samoupravlenie.txt"
LUF = "countries/moskowien/Luftflotte 1945.txt"
RZH = "countries/moskowien/Rzhevskaya Avtonomiya.txt"
NTI = "countries/moskowien/Notfallverwaltung Tichwin.txt"
OZM = "countries/moskowien/Operationszone Moskau.txt"
SNP = "countries/moskowien/Operationszone Sankt Petersburg.txt"
OZL = "countries/moskowien/Operationszone Pleskau.txt"
VVV = "countries/moskowien/Vosstanie v Velikih Lukah.txt"
PSK = "countries/moskowien/SS-Aktionsgruppe Moskowien.txt"
PFT = "countries/moskowien/Partizanskoye Soyedineniye 13.txt"
SHI = "countries/moskowien/Spetsotryad Shishki.txt"
OZT = "countries/moskowien/Operationszone Tambow.txt"
NTA = "countries/moskowien/Notfallverwaltung Tambow.txt"
ORL = "countries/moskowien/Konsilium Rossiyskoy Respubliki.txt"
RFS = "countries/moskowien/RKM56.txt"
OZO = "countries/moskowien/Operationszone Oryol.txt"
POV = "countries/moskowien/PO Pobediteli (V).txt"
POP = "countries/moskowien/PO Pobediteli (P).txt"
OZP = "countries/moskowien/Operationszone Paulusburg.txt"
OZA = "countries/moskowien/Operationszone Astrakhan.txt"
PAU = "countries/moskowien/Notfallverwaltung Paulusburg.txt"
# /// One day this will be dead /// #
OKB = "countries/Moskowien_OKB.txt"

###AFRICA###
BOR = "countries/BoerSouthAfrica.txt"
GBE = "countries/Gbeland.txt"
EWE = "countries/Ewe.txt"
CPP = "countries/CPP.txt"
YOR = "countries/Yorubaland.txt"
MDI = "countries/Mendi.txt"
SUS = "countries/Susu.txt"
GNB = "countries/Guinea-Bissau.txt"
JOL = "countries/Jola.txt"
WOL = "countries/Wolofia.txt"
CAO = "countries/Cameroon.txt"
BTS = "countries/Botswana.txt"

EGB = "countries/Baathist Egypt.txt"
FFR = "countries/Free France.txt"


ESM = "countries/East Somalia.txt"

WSM = "countries/West Somalia.txt"
BKF = "countries/Burkina Faso.txt"

SWB = "countries/Sawaba.txt"
ZAR = "countries/Zarmaland.txt"

KAY = "countries/Kayes.txt"
TRZ = "countries/Trarza.txt"
AYR = "countries/Kel Ayr.txt"
ANC = "countries/AfricanSouthAfrica.txt"
MDM = "countries/MadagaskarMalagasy.txt"
MDG = "countries/MadagaskarGerman.txt"

FTF = "countries/Fuuta Fulbe.txt"

SAO = "countries/Sao Tome.txt"
AZW = "countries/Azawad.txt"
KNM = "countries/Kanem.txt"
BFR = "countries/Biafra.txt"
NNG = "countries/Northern Nigeria.txt"



CFS = "countries/CongoFreeState.txt"
CAF = "countries/Central Afrika.txt"

NAM = "countries/Namibia.txt"
BRS = "countries/Barotseland.txt"
GAZ = "countries/Gazaland.txt"
LUO = "countries/Luoland.txt"
RMB = "countries/Rombesia.txt"
RWA = "countries/Rwanda.txt"
TNZ = "countries/Tanganyka.txt"
UGD = "countries/Uganda.txt"

BMB = "countries/Bemba.txt"
AZD = "countries/Azandeland.txt"
ERT = "countries/Eritrea.txt"

KYK = "countries/Kikuyuland.txt"
ORM = "countries/Oromia.txt"
SML = "countries/Somalia.txt"
AFR = "countries/Afar.txt"
ZUL = "countries/Zulu.txt"
SLF = "countries/SouthAfricanLiberationFront.txt"
SFG = "countries/SouthAfricanGermans.txt"
LTH = "countries/Lesotho.txt"
SWZ = "countries/Swaziland.txt"
CDL = "countries/CarnarvonDefenseLeague.txt"

CPR = "countries/CongoPopularRepublic.txt"
KSI = "countries/Kasai.txt"
CHD = "countries/Saraland.txt"
CHF = "countries/Saraland Front.txt"
OVB = "countries/Ovamboland.txt"
BZZ = "countries/Brazzaville.txt"
ANL = "countries/MPLA.txt"
AWB = "countries/AfrikanerWeerstandsbeweging.txt"
KBA = "countries/KapaBokone.txt"
OSA = "countries/OFNForcesSAF.txt"
UFK = "countries/Kohi.txt"
BKV = "countries/Bakuvu.txt"
GZO = "countries/GazalandOpposition.txt"
GZS = "countries/GazalandSimango.txt"
TND = "countries/TanganyikanDefenseForce.txt"
TOO = "countries/Tooro.txt"
ZBO = "countries/ZambianOpposition.txt"
ZMO = "countries/ZanzibarLoyalists.txt"
ZZS = "countries/ZimbabweOpposition.txt"
HRR = "countries/Hereroland.txt"
FMF = "countries/FreedomMilitaryForce.txt"
RSD = "countries/ReichsstaatDarEsSalaamRemnants.txt"
RSL = "countries/ReichsstaatLuftwaffeRemnants.txt"
RSQ = "countries/ReichsstaatQuelimaneRemnants.txt"
RSZ = "countries/ReichsstaatSambiaRemnants.txt"
EQG = "countries/Equatorial Guinea.txt"

###MIDDLE EAST / CENTRAL ASIA###


BIR = "countries/Baathist Iraq.txt"
IRP = "countries/Iraqi Republic.txt"

UAR = "countries/UAR.txt"
IRI = "countries/Islamic Republic of Iran.txt"
IRL = "countries/Democratic Republic of Iran.txt"
IRC = "countries/Kingdom of Iran.txt"
IRB = "countries/Iranian Baluchi.txt"
IRA = "countries/Iranian Azeri.txt"
MFP = "countries/MFP.txt"


###ITALY###

NYM = "countries/Northern Yemen.txt"

IEA = "countries/Italian East Africa.txt"
COR = "countries/Correntia.txt"
IME = "countries/Italian Middle East.txt"
JER = "countries/Jerusalem.txt"

ISR = "countries/Israel.txt"
JOR = "countries/Jordan.txt"

SLB = "countries/South Lebanon.txt"



DJI = "countries/Djibouti.txt"

QAT = "countries/Qatar.txt"

###SOUTH/CENTRAL AMERICA/CARIBBEAN###

BRB = "countries/Barbados.txt"
BLZ = "countries/Belize.txt"


CLL = "countries/Colombian Liberals.txt"
CLC = "countries/Colombian Conservatives.txt"
CLD = "countries/Second Patriotic Army.txt"


CUR = "countries/Curacao.txt"
DMI = "countries/Dominica.txt"

CAL = "countries/Caribbean Legion.txt"

GAX = "countries/Galapagos.txt"
GND = "countries/Grenada.txt"

GUD = "countries/Guadeloupe.txt"
GUY = "countries/Guyana.txt"
GUC = "countries/Guiana-Cayenne.txt"

HIS = "countries/Hispaniola.txt"
HON = "countries/Honduras.txt"

MRT = "countries/Martinique.txt"

SKN = "countries/St. Kitts and Nevis.txt"
SLU = "countries/Saint Lucia.txt"
SVI = "countries/Saint Vincent and the Grenadines.txt"


WIN = "countries/West Indies Federation.txt"




PCZ = "countries/Canal Zone.txt"




PUR = "countries/Puerto Rico.txt"
TDF = "countries/Tierra del Fuego.txt"
ARP = "countries/Argentine Paraguayan Occupation.txt"
BRP = "countries/Brazilian Paraguayan Occupation.txt"
URP = "countries/Uruguayan Paraguayan Occupation.txt"
STC = "countries/Santa Cruz.txt"
PAC = "countries/I Paraguayan Corps.txt"

##########################INDIAN SUBCONTINENT######################################
AZH = "countries/Azad Hind.txt"

CYL = "countries/Ceylon.txt"
IND = "countries/India.txt"


############################MIDDLE EAST###########################

ETB = "countries/EthiopiaState.txt"
MOM = "countries/Mombasa.txt"
SNS = "countries/Syrian National State.txt"
BKU = "countries/MosulandKerkuk.txt"

########################NO ONE CARES ABOUT THESE COUNTRIES, LET'S LAUGH AT THEM############

SOR = "countries/Soviet Remnants.txt"

###IBERIAN BREAKAWAY STATES
FML = "countries/Iberian Admiralty.txt"
GIB = "countries/Gibraltar Protectorate.txt"
FSR = "countries/National Redemption Front.txt"
FZL = "countries/Frente Azul.txt"
GNS = "countries/National Salvation Government.txt"
PPR = "countries/Portuguese Peoples Republic.txt"
RPP = "countries/Portuguese Provisional Republic.txt"
TBA = "countries/Asturian Workers Battalions.txt"
RIF = "countries/Rif Republic.txt"
MAU = "countries/Mauritania.txt"
KBY = "countries/Kabylia.txt"
SPS = "countries/Spanish State.txt"
CTL = "countries/Catalonia.txt"
CNT = "countries/Revolutionary Catalonia.txt"
GAL = "countries/Galicia.txt"
BSQ = "countries/Basque.txt"
SPR = "countries/Spain.txt"

ADL = "countries/Andalusia.txt"

##SUDAN##
AYA = "countries/Anyanya.txt"
AZA = "countries/Azania.txt"
RPS = "countries/Republic of Sudan.txt"
SDS = "countries/State of Sudan.txt"
SDF = "countries/Sudan Defense Forces.txt"

##UAE Breakaways##
UAE = "countries/UAE.txt"
SNI = "countries/Sunni Iraq.txt"
KUW = "countries/Kuwait.txt"

###Serbian Tags###
GMS = "countries/GermanSerbia.txt"


##Italian Governates##
GUL = "countries/Gulf Governate.txt"
ILG = "countries/Italian Algeria.txt"

##Iberian Governates##
SLG = "countries/Iberian Algeria.txt"

##CRISIS##
OMB = "countries/Panarab Oman.txt"
OMI = "countries/Imamate Oman.txt"
EGQ = "countries/Egypt Qutb.txt"

##Heydrich Gang##
DSH = "countries/Dietrichs Clique.txt"
SSL = "countries/SS Lothringia.txt"
FPG = "countries/Freikorps PGD1.txt"
SSW = "countries/SS Westfalen.txt"
PRK = "countries/Slave Uprising.txt"
FSP = "countries/Freistaat Preusen.txt"
ISS = "countries/Industriesschutzonne Schlesien.txt"
KHP = "countries/Kampfgruppe Heilige Pflicht.txt"
LHH = "countries/Leibstandarte Heinrich Himmler.txt"
SSN = "countries/SS-Sicherheitsstaat Nurnberg.txt"
OKL = "countries/Oberkommando der Luftwaffe.txt"
AGS = "countries/Angriffsgruppe Steiner.txt"
DSG = "countries/Deutsche Schutzregierung.txt"
KLB = "countries/Klaus Barbie Danzig.txt"
KSS = "countries/Kommandostaat Waffen-SS.txt"
SSF = "countries/SS-Kampfgruppe Fegelein.txt"
APF = "countries/Aryan People's Front.txt"
OER = "countries/Militarists.txt"
FHH = "countries/Speerite-Bormanite Alliance.txt"

###AFTER MIDNIGHT###
TMA = "countries/AM Arkhangelsk.txt"
TMB = "countries/AM Brotherhood of Cain.txt"
TMC = "countries/AM USSC.txt"
TMD = "countries/AM Airborne Brigades.txt"
TME = "countries/AM Eurasia.txt"
TMF = "countries/AM Nenetsia.txt"
TMG = "countries/AM Russian Empire.txt"
TMH = "countries/AM Altay.txt"
TMI = "countries/AM Institute.txt"
TMJ = "countries/AM Tomsk.txt"
TMK = "countries/AM Kazakh Clans.txt"
TML = "countries/AM ASLA.txt"
TMM = "countries/AM Magadan Free Port.txt"
TMN = "countries/AM Orenburg.txt"
TMO = "countries/AM Redeemed Black League.txt"
TMP = "countries/AM Kazakh Purification Army.txt"
TMQ = "countries/AM Tatars-Bashkirs.txt"
TMR = "countries/AM Amur Refugee Zone.txt"
TMS = "countries/AM Samara.txt"
TMT = "countries/AM Transural Confederation.txt"
TMU = "countries/AM Ural Purification Zone.txt"
TMV = "countries/AM Mercantile Consortium.txt"
TMW = "countries/AM Free Territory.txt"
TMX = "countries/AM Communal Vanguard.txt"
TMY = "countries/AM Dikiy Regency.txt"

###MISC###
RMN = "countries/Hispania.txt"
ZOM = "countries/Zombies.txt"
PKT = "countries/Zollverein.txt"
OFN = "countries/Organization of Free Nations.txt"
ADN = "countries/Andean Pact.txt"
CME = "countries/COMECON.txt"
ZZZ = "countries/anarchy.txt" #ANARCHY SHOULD BE THE LAST TAG
